
Spider-Man: No Way Home,Movie,70,E:\Netflix Clone\simpleClone\contents\Thumbnail\spider-man ex.png
Squid Game,Webseries,50,E:\Netflix Clone\simpleClone\contents\Thumbnail\squid game.png
Extraction,Movie,45,E:\Netflix Clone\simpleClone\contents\Thumbnail\extraction.png
Money Heist,Webseries,70,E:\Netflix Clone\simpleClone\contents\Thumbnail\money heist.png
Army of The Dead,Webseries,120,E:\Netflix Clone\simpleClone\contents\Thumbnail\army of the dead.png
The IrishMan,Webseries,60,E:\Netflix Clone\simpleClone\contents\Thumbnail\the irishamn.png
Intersteller,Movie,50,E:\Netflix Clone\simpleClone\contents\Thumbnail\intersteller.png
Inception,Movie,60,E:\Netflix Clone\simpleClone\contents\Thumbnail\inception.png
Manifest,Webseries,80,E:\Netflix Clone\simpleClone\contents\Thumbnail\manifest.png
Bhool Bhulaiyaa 2,Movie,35,E:\Netflix Clone\simpleClone\contents\Thumbnail\bhool bhulaiyaa 2.png
Anaconda,Movie,30,E:\Netflix Clone\simpleClone\contents\Thumbnail\anacondas.png
Tooth Pari,Movie,40,E:\Netflix Clone\simpleClone\contents\Thumbnail\tooth pari.png
Lucifer,Webseries,70,E:\Netflix Clone\simpleClone\contents\Thumbnail\lucifer.png
DARK,Webseries,45,E:\Netflix Clone\simpleClone\contents\Thumbnail\dark.png
Alive,Webseries,75,E:\Netflix Clone\simpleClone\contents\Thumbnail\alive.png
Jurassic World,Movie,120,E:\Netflix Clone\simpleClone\contents\Thumbnail\jurassic-world.png
Transformers,Movie,150,E:\Netflix Clone\simpleClone\contents\Thumbnail\transformers.png
